R,Host,Drought,Fungi,Salinity,Treatment code,Protein,SOD,CAT,POX,Proline
1,Hordeum vulgare,Drought1,Periconia macrospinosa,salinity1,PMD1S1,27.013,0.235,0.15795,0.09118,7.623
2,Hordeum vulgare,Drought1,Periconia macrospinosa,salinity2,PMD1S2,26.146,0.286,0.1834,0.11152,9.821
3,Hordeum vulgare,Drought1,Periconia macrospinosa,salinity3,PMD1S3,24.756,0.355,0.1879,0.1548,13.108
4,Hordeum vulgare,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,28.246,0.263,0.1578,0.10675,8.514
5,Hordeum vulgare,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,27.659,0.309,0.16125,0.120933333,10.217
6,Hordeum vulgare,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,25.255,0.383,0.1678,0.170833333,15.801
7,Hordeum vulgare,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,27.957,0.253,0.16045,0.1009,8.633
8,Hordeum vulgare,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,26,0.295,0.1678,0.1282,10.524
9,Hordeum vulgare,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,24.01,0.371,0.169575,0.173666667,15.435
10,Hordeum vulgare,Drought1,Control,salinity1,COD1S1,27.357,0.224,0.1225,0.0615,7.445
11,Hordeum vulgare,Drought1,Control,salinity2,COD1S2,22.018,0.247,0.14725,0.0928,9.032
12,Hordeum vulgare,Drought1,Control,salinity3,COD1S3,17.059,0.285,0.1556,0.1228,11.722
13,Hordeum vulgare,Drought2,Periconia macrospinosa,salinity1,PMD2S1,25.356,0.335,0.20729,0.1882,15.148
14,Hordeum vulgare,Drought2,Periconia macrospinosa,salinity2,PMD2S2,24.459,0.387,0.2229,0.2055,17.851
15,Hordeum vulgare,Drought2,Periconia macrospinosa,salinity3,PMD2S3,22.256,0.456,0.23745,0.2418,21.049
16,Hordeum vulgare,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,26.486,0.353,0.1806,0.1522,12.049
17,Hordeum vulgare,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,25.785,0.391,0.19355,0.1704,14.415
18,Hordeum vulgare,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,23.459,0.473,0.20295,0.22141,19.118
19,Hordeum vulgare,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,25.759,0.333,0.18945,0.1575,12.316
20,Hordeum vulgare,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,24.557,0.375,0.1979,0.17513,14.702
21,Hordeum vulgare,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,22.09,0.456,0.2023,0.2254,19.108
22,Hordeum vulgare,Drought2,Control,salinity1,COD2S1,23.688,0.274,0.1464,0.1176,10.326
23,Hordeum vulgare,Drought2,Control,salinity2,COD2S2,17.79,0.296,0.16935,0.1429,12.029
24,Hordeum vulgare,Drought2,Control,salinity3,COD2S3,12.569,0.334,0.17125,0.178533333,14.019
25,Hordeum vulgare,Drought3,Periconia macrospinosa,salinity1,PMD3S1,22.246,0.485,0.2978,0.2928,22.732
26,Hordeum vulgare,Drought3,Periconia macrospinosa,salinity2,PMD3S2,21.569,0.535,0.31274,0.3115,27.841
27,Hordeum vulgare,Drought3,Periconia macrospinosa,salinity3,PMD3S3,19.876,0.605,0.3213725,0.3548,31.336
28,Hordeum vulgare,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,24.788,0.443,0.2729,0.24422,18.326
29,Hordeum vulgare,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,23.986,0.487,0.2771,0.2636,20.841
30,Hordeum vulgare,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,21.456,0.569,0.2935,0.3149,25.158
31,Hordeum vulgare,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,23.987,0.419,0.2799,0.234,18.752
32,Hordeum vulgare,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,22,0.464,0.2889,0.2529,20.346
33,Hordeum vulgare,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,20,0.541,0.29376,0.30596,25.692
34,Hordeum vulgare,Drought3,Control,salinity1,COD3S1,18.698,0.374,0.2092,0.2195,14.692
35,Hordeum vulgare,Drought3,Control,salinity2,COD3S2,13.246,0.396,0.226425,0.2418,16.405
