Fungi ,Salinity,Drought ,Value,
Periconia macrospinosa,salinity1,Drought1,0.09548,
Periconia macrospinosa,salinity2,Drought1,0.15358,
Periconia macrospinosa,salinity3,Drought1,0.22657,
Neocamarosporium chichastianum,salinity1,Drought1,0.08115,
Neocamarosporium chichastianum,salinity2,Drought1,0.1054148,
Neocamarosporium chichastianum,salinity3,Drought1,0.16256,
Neocamarosporium goegapense,salinity1,Drought1,0.09548,
Neocamarosporium goegapense,salinity2,Drought1,0.11548,
Neocamarosporium goegapense,salinity3,Drought1,0.15659,
Control,salinity1,Drought1,0.0721459,
Control,salinity2,Drought1,0.13256,
Control,salinity3,Drought1,0.18221568,
Periconia macrospinosa,salinity1,Drought2,0.1454,
Periconia macrospinosa,salinity2,Drought2,0.17658,
Periconia macrospinosa,salinity3,Drought2,0.27545,
Neocamarosporium chichastianum,salinity1,Drought2,0.1089,
Neocamarosporium chichastianum,salinity2,Drought2,0.12154,
Neocamarosporium chichastianum,salinity3,Drought2,0.226447,
Neocamarosporium goegapense,salinity1,Drought2,0.11854,
Neocamarosporium goegapense,salinity2,Drought2,0.12548,
Neocamarosporium goegapense,salinity3,Drought2,0.232557,
Control,salinity1,Drought2,0.12157,
Control,salinity2,Drought2,0.15678,
Control,salinity3,Drought2,0.22235,
Periconia macrospinosa,salinity1,Drought3,0.2015,
Periconia macrospinosa,salinity2,Drought3,0.210325,
Periconia macrospinosa,salinity3,Drought3,0.3454,
Neocamarosporium chichastianum,salinity1,Drought3,0.132145,
Neocamarosporium chichastianum,salinity2,Drought3,0.1557,
Neocamarosporium chichastianum,salinity3,Drought3,0.36231,
Neocamarosporium goegapense,salinity1,Drought3,0.14055,
Neocamarosporium goegapense,salinity2,Drought3,0.161258,
Neocamarosporium goegapense,salinity3,Drought3,0.36145,
Control,salinity1,Drought3,0.17263,
Control,salinity2,Drought3,0.182548,
Control,salinity3,Drought3,0.272154,
Periconia macrospinosa,salinity1,Drought4,0.25654,
Periconia macrospinosa,salinity2,Drought4,0.3242,
Periconia macrospinosa,salinity3,Drought4,0.36551,
Neocamarosporium chichastianum,salinity1,Drought4,0.24145,
Neocamarosporium chichastianum,salinity2,Drought4,0.2754,
Neocamarosporium chichastianum,salinity3,Drought4,0.37246,
Neocamarosporium goegapense,salinity1,Drought4,0.25153,
Neocamarosporium goegapense,salinity2,Drought4,0.2851,
Neocamarosporium goegapense,salinity3,Drought4,0.36521,
Control,salinity1,Drought4,0.216652,
Control,salinity2,Drought4,0.235546,
Control,salinity3,Drought4,0.251553,
