Fungi ,Salinity,Drought ,Value,,,,,,,
Periconia macrospinosa,salinity1,Drought1,0.10548,,,,,,,
Periconia macrospinosa,salinity2,Drought1,0.12358,,,,,,,
Periconia macrospinosa,salinity3,Drought1,0.17657,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought1,0.08915,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought1,0.1054148,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought1,0.16256,,,,,,,
Neocamarosporium goegapense,salinity1,Drought1,0.09548,,,,,,,
Neocamarosporium goegapense,salinity2,Drought1,0.11548,,,,,,,
Neocamarosporium goegapense,salinity3,Drought1,0.16659,,,,,,,
Control,salinity1,Drought1,0.0721459,,,,,,,
Control,salinity2,Drought1,0.10256,,,,,,,
Control,salinity3,Drought1,0.13221568,,,,,,,
Periconia macrospinosa,salinity1,Drought2,0.1454,,,,,,,
Periconia macrospinosa,salinity2,Drought2,0.16658,,,,,,,
Periconia macrospinosa,salinity3,Drought2,0.21545,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought2,0.1089,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought2,0.12154,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought2,0.1826447,,,,,,,
Neocamarosporium goegapense,salinity1,Drought2,0.10954,,,,,,,
Neocamarosporium goegapense,salinity2,Drought2,0.12548,,,,,,,
Neocamarosporium goegapense,salinity3,Drought2,0.182557,,,,,,,
Control,salinity1,Drought2,0.13157,,,,,,,
Control,salinity2,Drought2,0.15678,,,,,,,
Control,salinity3,Drought2,0.17235,,,,,,,
Periconia macrospinosa,salinity1,Drought3,0.21815,,,,,,,
Periconia macrospinosa,salinity2,Drought3,0.230325,,,,,,,
Periconia macrospinosa,salinity3,Drought3,0.2854,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought3,0.132145,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought3,0.1557,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought3,0.25231,,,,,,,
Neocamarosporium goegapense,salinity1,Drought3,0.13055,,,,,,,
Neocamarosporium goegapense,salinity2,Drought3,0.151258,,,,,,,
Neocamarosporium goegapense,salinity3,Drought3,0.253145,,,,,,,
Control,salinity1,Drought3,0.163263,,,,,,,
Control,salinity2,Drought3,0.192548,,,,,,,
Control,salinity3,Drought3,0.212154,,,,,,,
Periconia macrospinosa,salinity1,Drought4,0.28654,,,,,,,
Periconia macrospinosa,salinity2,Drought4,0.3042,,,,,,,
Periconia macrospinosa,salinity3,Drought4,0.35351,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought4,0.241451,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought4,0.2654,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought4,0.323246,,,,,,,
Neocamarosporium goegapense,salinity1,Drought4,0.243215,,,,,,,
Neocamarosporium goegapense,salinity2,Drought4,0.26451,,,,,,,
Neocamarosporium goegapense,salinity3,Drought4,0.329521,,,,,,,
Control,salinity1,Drought4,0.1936652,,,,,,,
Control,salinity2,Drought4,0.2215546,,,,,,,
Control,salinity3,Drought4,0.241553,,,,,,,
