R,Host,Drought,Fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
1,Cucumis sativus,Drought1,Periconia macrospinosa,salinity1,PMD1S1,25.61,0.098754434,0.09548,0.55288,8.0461
2,Cucumis sativus,Drought1,Periconia macrospinosa,salinity2,PMD1S2,23.01,0.164584928,0.15358,0.7412796,11.162
3,Cucumis sativus,Drought1,Periconia macrospinosa,salinity3,PMD1S3,20.07,0.24554771,0.22657,1.1093,11.752
4,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,28.87,0.11018374,0.08115,0.54868,7.44
5,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,27.43,0.134346162,0.1054148,0.6017,8.644
6,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,26.5,0.145010034,0.16256,0.75868,9.774
7,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,29.51,0.101846542,0.09548,0.55084,7.645
8,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,28.23,0.123109216,0.11548,0.61536,8.465
9,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,27.04,0.145541666,0.15659,0.7872,9.774
10,Cucumis sativus,Drought1,Control,salinity1,COD1S1,24.94,0.055752944,0.0721459,0.527,6.456
11,Cucumis sativus,Drought1,Control,salinity2,COD1S2,20.19,0.10646509,0.13256,0.7408,9.885
12,Cucumis sativus,Drought1,Control,salinity3,COD1S3,15.79,0.133831603,0.18221568,0.8875,10.7623
13,Cucumis sativus,Drought2,Periconia macrospinosa,salinity1,PMD2S1,21.89,0.162770464,0.1454,1.1164,11.85
14,Cucumis sativus,Drought2,Periconia macrospinosa,salinity2,PMD2S2,19.37,0.230799469,0.17658,1.16864,12.74
15,Cucumis sativus,Drought2,Periconia macrospinosa,salinity3,PMD2S3,15.07,0.312118807,0.27545,1.35948,14.768
16,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,27.7,0.116015684,0.1089,0.78712,8.761
17,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,23.16,0.169796936,0.12154,0.864,9.768
18,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,19.1,0.218243546,0.226447,0.9608,10.623
19,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,27.98,0.120731133,0.11854,0.809,8.504
20,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,24.58,0.172297713,0.12548,0.959534,9.762
21,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,19.71,0.223416109,0.232557,1.0324,11.174
22,Cucumis sativus,Drought2,Control,salinity1,COD2S1,19.96,0.105615503,0.12157,0.912508,10.4641
23,Cucumis sativus,Drought2,Control,salinity2,COD2S2,15.77,0.157076524,0.15678,1.0915,11.75441
24,Cucumis sativus,Drought2,Control,salinity3,COD2S3,10.5,0.181018279,0.22235,1.2106,12.8732
25,Cucumis sativus,Drought3,Periconia macrospinosa,salinity1,PMD3S1,19.92,0.249304502,0.2015,1.3504,13.374
26,Cucumis sativus,Drought3,Periconia macrospinosa,salinity2,PMD3S2,15.09,0.319285307,0.210325,1.65734,14.6254
27,Cucumis sativus,Drought3,Periconia macrospinosa,salinity3,PMD3S3,12.64,0.395642084,0.3454,2.0554,18.9774
28,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,26.18,0.118051193,0.132145,0.8748,9.7542
29,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,20.75,0.1749748,0.1557,1.1854,11.645
30,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,18.49,0.23512489,0.36231,1.8148,20.774
31,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,25.49,0.12537525,0.14055,0.75287,10.645
32,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,20.96,0.1888887,0.161258,1.1942,11.04374
33,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,18.74,0.24622598,0.36145,1.85534,19.444
34,Cucumis sativus,Drought3,Control,salinity1,COD3S1,14.77,0.151734583,0.17263,1.08088,12.774
35,Cucumis sativus,Drought3,Control,salinity2,COD3S2,9.44,0.209662453,0.182548,1.26742,12.444
36,Cucumis sativus,Drought3,Control,salinity3,COD3S3,6.22,0.230683453,0.272154,1.451,15.774
37,Cucumis sativus,Drought4,Periconia macrospinosa,salinity1,PMD4S1,12.86,0.321376502,0.25654,1.709522,14.235
38,Cucumis sativus,Drought4,Periconia macrospinosa,salinity2,PMD4S2,10,0.392055075,0.3242,2.0042,17.752
39,Cucumis sativus,Drought4,Periconia macrospinosa,salinity3,PMD4S3,7.87,0.455702084,0.36551,2.22888,21.8975
40,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,15.62,0.251184193,0.24145,1.6522,11.75474
41,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,13.7,0.3251248,0.2754,1.95924,16.6536
42,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,11.9,0.39528489,0.37246,2.123,23.75444
43,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,16.93,0.255380125,0.25153,1.59511,12.774
44,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,14.18,0.3250247,0.2851,1.9606,16.7632
45,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,12.8,0.39637598,0.36521,2.25288,23.0441
46,Cucumis sativus,Drought4,Control,salinity1,COD4S1,6.04,0.200383183,0.216652,1.5014,13.743
47,Cucumis sativus,Drought4,Control,salinity2,COD4S2,4.82,0.251396145,0.235546,1.7584,13.6045
48,Cucumis sativus,Drought4,Control,salinity3,COD4S3,4.72,0.286739453,0.251553,1.78075,16.9075
49,Cucumis sativus,Drought1,Periconia macrospinosa,salinity1,PMD1S1,26.3783,0.098655778,0.098951745,0.55177424,8.0621922
50,Cucumis sativus,Drought1,Periconia macrospinosa,salinity2,PMD1S2,23.7003,0.164420507,0.164913769,0.739797041,11.184324
51,Cucumis sativus,Drought1,Periconia macrospinosa,salinity3,PMD1S3,20.6721,0.245302408,0.246038315,1.1070814,11.775504
52,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,29.7361,0.110073666,0.110403887,0.54758264,7.45488
53,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,28.2529,0.13421195,0.134614586,0.6004966,8.661288
54,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,27.295,0.144865169,0.145299765,0.75716264,9.793548
55,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,30.3953,0.101744797,0.102050031,0.54973832,7.66029
56,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,29.0769,0.12298623,0.123355189,0.61412928,8.48193
57,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,27.8512,0.14539627,0.145832459,0.7856256,9.793548
58,Cucumis sativus,Drought1,Control,salinity1,COD1S1,25.6882,0.055697247,0.055864339,0.525946,6.468912
59,Cucumis sativus,Drought1,Control,salinity2,COD1S2,20.7957,0.106358731,0.106677807,0.7393184,9.90477
60,Cucumis sativus,Drought1,Control,salinity3,COD1S3,16.2637,0.133697905,0.134098999,0.885725,10.7838246
