R,Host,Fungi,Drought,Salinity,Treatment code,Lshoot,Wdshoot,Wshoot,Nleaf,Lroot,Wroot,Wdroot,S,Biomass,Tww
NC-D1-S1-1,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,280,38.46,242.7408,30,47,59.21,9.654875208,49.2,48.11487521,97.31487521
NC-D1-S2-2,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,272,36.7,231.336,28,46,57.12,9.314076539,47.8,46.01407654,93.81407654
NC-D1-S3-3,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,245,34.38,216.3024,25,46,53.39,8.705856905,43.1,43.08585691,86.18585691
NC-D2-S1-4,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,275,37.23,234.7704,26,47,58.93,9.60921797,48.4,46.83921797,95.23921797
NC-D2-S2-5,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,253,34.4,216.432,26,45,56.2,9.1640599,45.9,43.5640599,89.4640599
NC-D2-S3-6,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,236,31.39,196.9272,24,45,52.08,8.492246256,41.6,39.88224626,81.48224626
NC-D3-S1-7,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,252,32.36,203.2128,24,46,53.04,8.648785358,43.7,41.00878536,84.70878536
NC-D3-S2-8,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,225,30.02,188.0496,23,45,49.79,8.118835275,41.3,38.13883528,79.43883528
NC-D3-S3-9,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity3,NCD3S3,190,26.36,164.3328,18,46,46.85,7.639434276,37.1,33.99943428,71.09943428
NC-D4-S1-10,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity1,NCD4S1,195,27.32,170.5536,18,43,48.41,7.893810316,39.01,35.21381032,74.22381032
NC-D4-S2-11,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity2,NCD4S2,170,25.07,155.9736,15,42,45.11,7.355707155,37.3,32.42570716,69.72570716
NC-D4-S3-12,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity3,NCD4S3,153,21.8,134.784,15,42,40.25,6.563227953,33.5,28.36322795,61.86322795
NC-D1-S1-13,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,283,41.3,267.624,32,49,61.2,10.32266667,49,51.62266667,100.6226667
NC-D1-S2-14,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,280,38.46,249.2208,28,47,58.12,9.8196,47.8,48.2796,96.0796
NC-D1-S3-15,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,256,37.84,245.2032,26,46,55.82,9.443933333,45.5,47.28393333,92.78393333
NC-D2-S1-16,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,282,39.26,254.4048,27,48,59.9,10.11033333,48.8,49.37033333,98.17033333
NC-D2-S2-17,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,267,36.99,239.6952,28,45,57.98,9.796733333,46.1,46.78673333,92.88673333
NC-D2-S3-18,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,241,32.89,213.1272,25,46,53.57,9.076433333,43.2,41.96643333,85.16643333
NC-D3-S1-19,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,260,33.09,214.4232,25,46,55.1,9.326333333,44.9,42.41633333,87.31633333
NC-D3-S2-20,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,247,31.05,201.204,24,46,52.34,8.875533333,43.2,39.92553333,83.12553333
NC-D3-S3-21,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity3,NCD3S3,206,25.09,162.5832,19,46,47.25,8.044166667,38.2,33.13416667,71.33416667
NC-D4-S1-22,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity1,NCD4S1,185,27.18,176.1264,18,42,50.87,8.635433333,40.1,35.81543333,75.91543333
NC-D4-S2-23,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity2,NCD4S2,177,25.94,168.0912,16,42,47.98,8.1634,38.1,34.1034,72.2034
NC-D4-S3-24,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity3,NCD4S3,160,22.87,148.1976,16,42,42.07,7.1981,34.4,30.0681,64.4681
NC-D1-S1-25,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,272,38.46,256.0954,28,47,58.75,9.516528926,49.7,47.97652893,97.67652893
NC-D1-S2-26,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,255,35.41,236.3009,26,46,56.67,9.179603306,45.6,44.58960331,90.18960331
NC-D1-S3-27,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,227,33.81,225.9169,26,45,51.84,8.39722314,41.2,42.20722314,83.40722314
NC-D2-S1-28,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,263,35.71,238.2479,25,46,57.82,9.365884298,45.1,45.0758843,90.1758843
NC-D2-S2-29,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,234,33.96,226.8904,24,45,54.79,8.87507438,44.1,42.83507438,86.93507438
NC-D2-S3-30,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,213,30.71,205.7979,23,45,51.25,8.301652893,39.4,39.01165289,78.41165289
NC-D3-S1-31,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,238,31.69,212.1581,23,46,51.19,8.291933884,40.9,39.98193388,80.88193388
NC-D3-S2-32,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,222,29.01,194.7649,23,16,48.38,7.836760331,40,36.84676033,76.84676033
