R,Host,Fungi,Drought,Salinity,Treatment code,Lshoot,Wshoot,Wdshoot,Lroot,Wroot,Wdroot,S
NC-D1-S1-1,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,96,18.46,4.395238095,51,7.45,1.40037594,42.6
NC-D1-S2-2,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,94,16.94,4.033333333,50,7.26,1.364661654,41.4
NC-D1-S3-3,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,85,16.5,3.928571429,50,6.5,1.221804511,39.5
NC-D2-S1-4,Hordeum vulgare,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,92,17.69,4.211904762,48,7.2,1.353383459,39.5
NC-D2-S2-5,Hordeum vulgare,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,86,16.92,4.028571429,48,6.89,1.295112782,38.4
NC-D2-S3-6,Hordeum vulgare,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,82,15.87,3.778571429,45,6.75,1.268796992,37.2
NC-D3-S1-7,Hordeum vulgare,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,81,16.73,3.983333333,48,6.68,1.255639098,35.1
NC-D3-S2-8,Hordeum vulgare,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,79,15.73,3.745238095,46,6.5,1.221804511,34.5
NC-D3-S3-9,Hordeum vulgare,Neocamarosporium chichastianum,Drought3,salinity3,NCD3S3,75,14.88,3.542857143,44,6.1,1.146616541,32.7
NC-D4-S1-10,Hordeum vulgare,Neocamarosporium chichastianum,Drought4,salinity1,NCD4S1,71,15.15,3.607142857,45,5.62,1.056390977,29.1
NC-D4-S2-11,Hordeum vulgare,Neocamarosporium chichastianum,Drought4,salinity2,NCD4S2,69,13.4,3.19047619,45,4.97,0.934210526,27.9
NC-D4-S3-12,Hordeum vulgare,Neocamarosporium chichastianum,Drought4,salinity3,NCD4S3,65,12.8,3.047619048,42,4.93,0.926691729,25.5
NC-D1-S1-13,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,85,16.31,3.883333333,50,7.12,1.338345865,43.9
NC-D1-S2-14,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,83,15.8,3.761904762,52,6.9,1.296992481,42.9
NC-D1-S3-15,Hordeum vulgare,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,83,14.16,3.371428571,48,6.56,1.233082707,40.7
