R,Host,Fungi,Drought,salinity,treatment code,Lshoot,Wshoot,Wdshoot,Nleaf,Lroot,Wroot,Wdroot,S
NC-D1-S1-1,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,280,250.33,38.46,30,47,59.21,10.12,49.2
NC-D1-S2-2,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,272,240.02,36.7,28,46,57.12,9.81,46.8
NC-D1-S3-3,Cucumis sativus,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,245,230.23,35.38,25,46,54.39,8.85,42.1
NC-D2-S1-4,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,275,250.19,36.23,26,47,57.23,9.64,42.4
NC-D2-S2-5,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,253,240.49,34.4,26,45,52.2,8.88,38.9
NC-D2-S3-6,Cucumis sativus,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,236,230.12,33.39,24,45,48.98,8.05,33.5
NC-D3-S1-7,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,252,220.23,29.36,24,46,46.74,7.89,33.7
NC-D3-S2-8,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,225,210.19,27.62,23,45,43.79,7.31,30.3
NC-D3-S3-9,Cucumis sativus,Neocamarosporium chichastianum,Drought3,salinity3,NCD3S3,190,180.33,26.36,18,46,41.85,7.06,30.1
NC-D4-S1-10,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity1,NCD4S1,195,160.07,19.32,18,43,39.41,6.82,27.7
NC-D4-S2-11,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity2,NCD4S2,170,140.93,17.07,15,42,36.11,6.24,25.3
NC-D4-S3-12,Cucumis sativus,Neocamarosporium chichastianum,Drought4,salinity3,NCD4S3,153,130.52,16.8,15,42,33.25,6.1,22.5
