Fungi ,Salinity,Drought ,Value,,,
Periconia macrospinosa,salinity1,Drought1,0.098685375,0.098754434,0.098655778,0.098645912
Periconia macrospinosa,salinity2,Drought1,0.164469833,0.164584928,0.164420507,0.164404065
Periconia macrospinosa,salinity3,Drought1,0.245375999,0.24554771,0.245302408,0.245277878
Neocamarosporium chichastianum,salinity1,Drought1,0.110106688,0.11018374,0.110073666,0.110062659
Neocamarosporium chichastianum,salinity2,Drought1,0.134252214,0.134346162,0.13421195,0.134198529
Neocamarosporium chichastianum,salinity3,Drought1,0.144908629,0.145010034,0.144865169,0.144850682
Neocamarosporium goegapense,salinity1,Drought1,0.10177532,0.101846542,0.101744797,0.101734623
Neocamarosporium goegapense,salinity2,Drought1,0.123023126,0.123109216,0.12298623,0.122973931
Neocamarosporium goegapense,salinity3,Drought1,0.145439889,0.145541666,0.14539627,0.14538173
Control,salinity1,Drought1,0.055713956,0.055752944,0.055697247,0.055691677
Control,salinity2,Drought1,0.106390639,0.10646509,0.106358731,0.106348095
Control,salinity3,Drought1,0.133738014,0.133831603,0.133697905,0.133684535
Periconia macrospinosa,salinity1,Drought2,0.162656638,0.162770464,0.162607856,0.162591595
Periconia macrospinosa,salinity2,Drought2,0.230638071,0.230799469,0.2305689,0.230545843
Periconia macrospinosa,salinity3,Drought2,0.311900542,0.312118807,0.311807,0.311775819
Neocamarosporium chichastianum,salinity1,Drought2,0.115934554,0.116015684,0.115899784,0.115888194
Neocamarosporium chichastianum,salinity2,Drought2,0.169678197,0.169796936,0.169627309,0.169610346
Neocamarosporium chichastianum,salinity3,Drought2,0.218090928,0.218243546,0.21802552,0.218003717
Neocamarosporium goegapense,salinity1,Drought2,0.120646705,0.120731133,0.120610522,0.120598461
Neocamarosporium goegapense,salinity2,Drought2,0.172177225,0.172297713,0.172125587,0.172108374
Neocamarosporium goegapense,salinity3,Drought2,0.223259874,0.223416109,0.223192916,0.223170597
Control,salinity1,Drought2,0.105541646,0.105615503,0.105509993,0.105499442
Control,salinity2,Drought2,0.15696668,0.157076524,0.156919604,0.156903912
Control,salinity3,Drought2,0.180891693,0.181018279,0.180837442,0.180819358
Periconia macrospinosa,salinity1,Drought3,0.249130164,0.249304502,0.249055447,0.249030541
Periconia macrospinosa,salinity2,Drought3,0.319062031,0.319285307,0.318966341,0.318934444
Periconia macrospinosa,salinity3,Drought3,0.395365411,0.395642084,0.395246837,0.395207312
Neocamarosporium chichastianum,salinity1,Drought3,0.11796864,0.118051193,0.11793326,0.117921467
Neocamarosporium chichastianum,salinity2,Drought3,0.17485244,0.1749748,0.1748,0.17478252
Neocamarosporium chichastianum,salinity3,Drought3,0.234960467,0.23512489,0.23489,0.234866511
Neocamarosporium goegapense,salinity1,Drought3,0.125287575,0.12537525,0.12525,0.125237475
Neocamarosporium goegapense,salinity2,Drought3,0.18875661,0.1888887,0.1887,0.18868113
Neocamarosporium goegapense,salinity3,Drought3,0.246053794,0.24622598,0.24598,0.245955402
Control,salinity1,Drought3,0.151628475,0.151734583,0.151583,0.151567842
Control,salinity2,Drought3,0.209515836,0.209662453,0.209453,0.209432055
Control,salinity3,Drought3,0.230522136,0.230683453,0.230453,0.230429955
Periconia macrospinosa,salinity1,Drought4,0.321151764,0.321376502,0.321055447,0.321023341
Periconia macrospinosa,salinity2,Drought4,0.391780911,0.392055075,0.391663412,0.391624246
Periconia macrospinosa,salinity3,Drought4,0.455383411,0.455702084,0.455246837,0.455201312
Neocamarosporium chichastianum,salinity1,Drought4,0.25100854,0.251184193,0.25093326,0.250908167
Neocamarosporium chichastianum,salinity2,Drought4,0.32489744,0.3251248,0.3248,0.32476752
Neocamarosporium chichastianum,salinity3,Drought4,0.395008467,0.39528489,0.39489,0.394850511
Neocamarosporium goegapense,salinity1,Drought4,0.255201538,0.255380125,0.255125,0.255099488
Neocamarosporium goegapense,salinity2,Drought4,0.32479741,0.3250247,0.3247,0.32466753
Neocamarosporium goegapense,salinity3,Drought4,0.396098794,0.39637598,0.39598,0.395940402
Control,salinity1,Drought4,0.200243055,0.200383183,0.200183,0.200162982
Control,salinity2,Drought4,0.251220344,0.251396145,0.251145,0.251119886
Control,salinity3,Drought4,0.286538936,0.286739453,0.286453,0.286424355
