Fungi ,Salinity,Drought ,Value,,,,,,,,
Periconia macrospinosa,salinity1,Drought1,0.083655778,,,,,,,,
Periconia macrospinosa,salinity2,Drought1,0.1644205,,,,,,,,
Periconia macrospinosa,salinity3,Drought1,0.280302408,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought1,0.087073666,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought1,0.127421195,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought1,0.244865169,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought1,0.091744797,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought1,0.130986237,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought1,0.26539627,,,,,,,,
Control,salinity1,Drought1,0.065697247,,,,,,,,
Control,salinity2,Drought1,0.136358731,,,,,,,,
Control,salinity3,Drought1,0.183697,,,,,,,,
Periconia macrospinosa,salinity1,Drought2,0.167607856,,,,,,,,
Periconia macrospinosa,salinity2,Drought2,0.2405689,,,,,,,,
Periconia macrospinosa,salinity3,Drought2,0.368807004,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought2,0.110899784,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought2,0.1516273,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought2,0.308025,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought2,0.115610522,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought2,0.152125587,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought2,0.313192,,,,,,,,
Control,salinity1,Drought2,0.125509993,,,,,,,,
Control,salinity2,Drought2,0.196919604,,,,,,,,
Control,salinity3,Drought2,0.246837442,,,,,,,,
Periconia macrospinosa,salinity1,Drought3,0.259055447,,,,,,,,
Periconia macrospinosa,salinity2,Drought3,0.323966341,,,,,,,,
Periconia macrospinosa,salinity3,Drought3,0.445246837,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought3,0.14793326,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought3,0.1848,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought3,0.37489,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought3,0.14125,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought3,0.1987,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought3,0.36598,,,,,,,,
Control,salinity1,Drought3,0.18583,,,,,,,,
Control,salinity2,Drought3,0.251453,,,,,,,,
Control,salinity3,Drought3,0.303453,,,,,,,,
Periconia macrospinosa,salinity1,Drought4,0.319055447,,,,,,,,
Periconia macrospinosa,salinity2,Drought4,0.383966341,,,,,,,,
Periconia macrospinosa,salinity3,Drought4,0.485246837,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought4,0.27793326,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought4,0.3148,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought4,0.45489,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought4,0.270125,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought4,0.31687,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought4,0.46598,,,,,,,,
Control,salinity1,Drought4,0.22583,,,,,,,,
Control,salinity2,Drought4,0.28145,,,,,,,,
Control,salinity3,Drought4,0.32453,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
