Fungi ,Salinity,Drought ,Value,
Periconia macrospinosa,salinity1,Drought1,7.623,
Periconia macrospinosa,salinity2,Drought1,9.821,
Periconia macrospinosa,salinity3,Drought1,13.108,
Neocamarosporium chichastianum,salinity1,Drought1,8.514,
Neocamarosporium chichastianum,salinity2,Drought1,10.217,
Neocamarosporium chichastianum,salinity3,Drought1,15.801,
Neocamarosporium goegapense,salinity1,Drought1,8.633,
Neocamarosporium goegapense,salinity2,Drought1,10.524,
Neocamarosporium goegapense,salinity3,Drought1,15.435,
Control,salinity1,Drought1,7.445,
Control,salinity2,Drought1,9.032,
Control,salinity3,Drought1,11.722,
Periconia macrospinosa,salinity1,Drought2,15.148,
Periconia macrospinosa,salinity2,Drought2,17.851,
Periconia macrospinosa,salinity3,Drought2,21.049,
Neocamarosporium chichastianum,salinity1,Drought2,12.049,
Neocamarosporium chichastianum,salinity2,Drought2,14.415,
Neocamarosporium chichastianum,salinity3,Drought2,19.118,
Neocamarosporium goegapense,salinity1,Drought2,12.316,
Neocamarosporium goegapense,salinity2,Drought2,14.702,
Neocamarosporium goegapense,salinity3,Drought2,19.108,
Control,salinity1,Drought2,10.326,
Control,salinity2,Drought2,12.029,
Control,salinity3,Drought2,14.019,
Periconia macrospinosa,salinity1,Drought3,22.732,
Periconia macrospinosa,salinity2,Drought3,27.841,
Periconia macrospinosa,salinity3,Drought3,31.336,
Neocamarosporium chichastianum,salinity1,Drought3,18.326,
Neocamarosporium chichastianum,salinity2,Drought3,20.841,
Neocamarosporium chichastianum,salinity3,Drought3,25.158,
Neocamarosporium goegapense,salinity1,Drought3,18.752,
Neocamarosporium goegapense,salinity2,Drought3,20.346,
Neocamarosporium goegapense,salinity3,Drought3,25.692,
Control,salinity1,Drought3,14.692,
Control,salinity2,Drought3,16.405,
Control,salinity3,Drought3,18.009,
Periconia macrospinosa,salinity1,Drought4,31.732,
Periconia macrospinosa,salinity2,Drought4,33.029,
Periconia macrospinosa,salinity3,Drought4,37.019,
Neocamarosporium chichastianum,salinity1,Drought4,29.108,
Neocamarosporium chichastianum,salinity2,Drought4,31.326,
Neocamarosporium chichastianum,salinity3,Drought4,36.128,
Neocamarosporium goegapense,salinity1,Drought4,30.158,
Neocamarosporium goegapense,salinity2,Drought4,32.148,
Neocamarosporium goegapense,salinity3,Drought4,37.643,
Control,salinity1,Drought4,20.247,
Control,salinity2,Drought4,22.564,
Control,salinity3,Drought4,24.94,
