Fungi ,Salinity,Drought ,Value,,,,,,,,
Periconia macrospinosa,salinity1,Drought1,20.61,,,,,,,,
Periconia macrospinosa,salinity2,Drought1,17.28,,,,,,,,
Periconia macrospinosa,salinity3,Drought1,15.07,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought1,25.17,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought1,22.43,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought1,20.65,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought1,25.51,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought1,22.23,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought1,20.14,,,,,,,,
Control,salinity1,Drought1,18.94,,,,,,,,
Control,salinity2,Drought1,13.39,,,,,,,,
Control,salinity3,Drought1,9.79,,,,,,,,
Periconia macrospinosa,salinity1,Drought2,18.59,,,,,,,,
Periconia macrospinosa,salinity2,Drought2,15.67,,,,,,,,
Periconia macrospinosa,salinity3,Drought2,13.83,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought2,22.3,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought2,19.98,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought2,17.52,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought2,22.18,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought2,20.01,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought2,17.71,,,,,,,,
Control,salinity1,Drought2,15.26,,,,,,,,
Control,salinity2,Drought2,10.72,,,,,,,,
Control,salinity3,Drought2,7.5,,,,,,,,
Periconia macrospinosa,salinity1,Drought3,16.32,,,,,,,,
Periconia macrospinosa,salinity2,Drought3,13.79,,,,,,,,
Periconia macrospinosa,salinity3,Drought3,12.02,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought3,19.01,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought3,17.3,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought3,15.2,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought3,19.1,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought3,17.15,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought3,15.23,,,,,,,,
Control,salinity1,Drought3,13.77,,,,,,,,
Control,salinity2,Drought3,9.61,,,,,,,,
Control,salinity3,Drought3,6.82,,,,,,,,
Periconia macrospinosa,salinity1,Drought4,13.86,,,,,,,,
Periconia macrospinosa,salinity2,Drought4,11.7,,,,,,,,
Periconia macrospinosa,salinity3,Drought4,10.39,,,,,,,,
Neocamarosporium chichastianum,salinity1,Drought4,16.92,,,,,,,,
Neocamarosporium chichastianum,salinity2,Drought4,15.3,,,,,,,,
Neocamarosporium chichastianum,salinity3,Drought4,13.6,,,,,,,,
Neocamarosporium goegapense,salinity1,Drought4,16.93,,,,,,,,
Neocamarosporium goegapense,salinity2,Drought4,15.39,,,,,,,,
Neocamarosporium goegapense,salinity3,Drought4,13.7,,,,,,,,
Control,salinity1,Drought4,10.54,,,,,,,,
Control,salinity2,Drought4,7.82,,,,,,,,
Control,salinity3,Drought4,5.72,,,,,,,,
