Fungi ,Drought ,Salinity,Value,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,42.23333333,42.6,43.9,40.2,,
Neocamarosporium chichastianum,Drought1,salinity2,41.2,41.4,42.9,39.3,,
Neocamarosporium chichastianum,Drought1,salinity3,39.26666667,39.5,40.7,37.6,,
Neocamarosporium chichastianum,Drought2,salinity1,39.6,39.5,41.2,38.1,,
Neocamarosporium chichastianum,Drought2,salinity2,38.66666667,38.4,40.2,37.4,,
Neocamarosporium chichastianum,Drought2,salinity3,36.83333333,37.2,38.2,35.1,,
Neocamarosporium chichastianum,Drought3,salinity1,35.56666667,35.1,37.9,33.7,,
Neocamarosporium chichastianum,Drought3,salinity2,34.43333333,34.5,36.7,32.1,,
Neocamarosporium chichastianum,Drought3,salinity3,32.4,32.7,34.6,29.9,,
Neocamarosporium chichastianum,Drought4,salinity1,29.43333333,29.1,30.9,28.3,,
Neocamarosporium chichastianum,Drought4,salinity2,28.36666667,27.9,29.8,27.4,,
Neocamarosporium chichastianum,Drought4,salinity3,26.26666667,25.5,27.9,25.4,,
Neocamarosporium goegapense,Drought1,salinity1,41.73333333,42.8,42.3,40.1,,
Neocamarosporium goegapense,Drought1,salinity2,40.7,41.8,38.6,41.7,,
Neocamarosporium goegapense,Drought1,salinity3,38.6,40.5,35.7,39.6,,
Neocamarosporium goegapense,Drought2,salinity1,38.93333333,39.9,39.1,37.8,,
Neocamarosporium goegapense,Drought2,salinity2,37.86666667,37,38.1,38.5,,
Neocamarosporium goegapense,Drought2,salinity3,35.7,38.2,30.4,38.5,,
Neocamarosporium goegapense,Drought3,salinity1,35.43333333,36.1,34.7,35.5,,
Neocamarosporium goegapense,Drought3,salinity2,34.5,35.3,33.3,34.9,,
Neocamarosporium goegapense,Drought3,salinity3,32.5,31,31.1,35.4,,
Neocamarosporium goegapense,Drought4,salinity1,28.93333333,30.3,27.9,28.6,,
Neocamarosporium goegapense,Drought4,salinity2,27.98333333,28.5,28.25,27.2,,
Neocamarosporium goegapense,Drought4,salinity3,25.83333333,25.5,26.6,25.4,,
Periconia macrospinosa,Drought1,salinity1,40.2,40.6,38.8,41.2,,
Periconia macrospinosa,Drought1,salinity2,38.03333333,38.8,38.4,36.9,,
Periconia macrospinosa,Drought1,salinity3,36.1,37.3,35.3,35.7,,
Periconia macrospinosa,Drought2,salinity1,36.93333333,36.8,35.3,38.7,,
Periconia macrospinosa,Drought2,salinity2,34.86666667,35.5,34.8,34.3,,
Periconia macrospinosa,Drought2,salinity3,32.76666667,31.8,33.6,32.9,,
Periconia macrospinosa,Drought3,salinity1,31.63333333,30.3,34.4,30.2,,
Periconia macrospinosa,Drought3,salinity2,29.76666667,28.5,32.2,28.6,,
Periconia macrospinosa,Drought3,salinity3,27.86666667,26.3,30.5,26.8,,
Periconia macrospinosa,Drought4,salinity1,24.46666667,22.8,26.3,24.3,,
Periconia macrospinosa,Drought4,salinity2,22.33333333,19.5,24.7,22.8,,
Periconia macrospinosa,Drought4,salinity3,20.23333333,18.5,22.4,19.8,,
Control,Drought1,salinity1,39.3,40.3,39.1,38.5,,
Control,Drought1,salinity2,35.4,34.2,36.5,35.5,,
Control,Drought1,salinity3,33.36666667,31.4,33.7,35,,
Control,Drought2,salinity1,33.23333333,32.1,34.1,33.5,,
Control,Drought2,salinity2,29.33333333,28.7,30.7,28.6,,
Control,Drought2,salinity3,27.4,27.3,28.7,26.2,,
Control,Drought3,salinity1,26.13333333,25.2,27.1,26.1,,
Control,Drought3,salinity2,22.23333333,25,21.1,20.6,,
Control,Drought3,salinity3,20.26666667,25.9,18.1,16.8,,
Control,Drought4,salinity1,15.73333333,17.8,14.1,15.3,,
Control,Drought4,salinity2,11.64,12.5,11.12,11.3,,
Control,Drought4,salinity3,9.666666667,10.3,9.1,9.6,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
