Fungi ,Drought ,Salinity,Value,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,50.73333333,50.9,51.2,50.1,,50.9
Neocamarosporium chichastianum,Drought1,salinity2,47.63333333,47.6,48.1,47.2,,47.6
Neocamarosporium chichastianum,Drought1,salinity3,43.43333333,43.9,44.5,41.9,,43.9
Neocamarosporium chichastianum,Drought2,salinity1,48.33333333,48.3,49.9,46.8,,48.3
Neocamarosporium chichastianum,Drought2,salinity2,45.53333333,45.6,46.5,44.5,,45.6
Neocamarosporium chichastianum,Drought2,salinity3,41.13333333,41.7,42.9,38.8,,41.7
Neocamarosporium chichastianum,Drought3,salinity1,44.13333333,44.6,45.6,42.2,,44.6
Neocamarosporium chichastianum,Drought3,salinity2,41.36666667,41.8,42.5,39.8,,41.8
Neocamarosporium chichastianum,Drought3,salinity3,37.7,37.9,38.7,36.5,,37.9
Neocamarosporium chichastianum,Drought4,salinity1,39.1,39.1,39.3,38.9,,39.1
Neocamarosporium chichastianum,Drought4,salinity2,36.63333333,36.4,38.6,34.9,,36.4
Neocamarosporium chichastianum,Drought4,salinity3,32.8,32.9,33.6,31.9,,32.9
Neocamarosporium goegapense,Drought1,salinity1,49.43333333,49.6,50.1,48.6,,51.2
Neocamarosporium goegapense,Drought1,salinity2,46.86666667,47.3,48.5,44.8,,48.1
Neocamarosporium goegapense,Drought1,salinity3,41.36666667,41.2,42.3,40.6,,44.5
Neocamarosporium goegapense,Drought2,salinity1,46.63333333,47.5,48.7,43.7,,49.9
Neocamarosporium goegapense,Drought2,salinity2,43.1,43.7,44.2,41.4,,46.5
Neocamarosporium goegapense,Drought2,salinity3,38.33333333,38.5,39.7,36.8,,42.9
Neocamarosporium goegapense,Drought3,salinity1,42.46666667,42.6,43.9,40.9,,45.6
Neocamarosporium goegapense,Drought3,salinity2,39.8,39.1,41.7,38.6,,42.5
Neocamarosporium goegapense,Drought3,salinity3,34.73333333,34.2,36.8,33.2,,38.7
Neocamarosporium goegapense,Drought4,salinity1,36.26666667,37.5,38.4,32.9,,39.3
Neocamarosporium goegapense,Drought4,salinity2,33.53333333,33.7,34.1,32.8,,38.6
Neocamarosporium goegapense,Drought4,salinity3,28.93333333,28.4,29.9,28.5,,33.6
Periconia macrospinosa,Drought1,salinity1,46.86666667,47.5,48.2,44.9,,50.1
Periconia macrospinosa,Drought1,salinity2,42.2,42.2,44.3,40.1,,47.2
Periconia macrospinosa,Drought1,salinity3,37.06666667,37.2,37.9,36.1,,41.9
Periconia macrospinosa,Drought2,salinity1,43.16666667,43.3,44.7,41.5,,46.8
Periconia macrospinosa,Drought2,salinity2,38.96666667,39.1,40.9,36.9,,44.5
Periconia macrospinosa,Drought2,salinity3,34.6,34.8,35.9,33.1,,38.8
Periconia macrospinosa,Drought3,salinity1,39.1,38.9,40.7,37.7,,42.2
Periconia macrospinosa,Drought3,salinity2,35.36666667,35.7,37.1,33.3,,39.8
Periconia macrospinosa,Drought3,salinity3,30.73333333,30.6,33.1,28.5,,36.5
Periconia macrospinosa,Drought4,salinity1,33.66666667,33.9,35.5,31.6,,38.9
Periconia macrospinosa,Drought4,salinity2,29.76666667,29.2,31.4,28.7,,34.9
Periconia macrospinosa,Drought4,salinity3,24.73,24.39,25.9,23.9,,31.9
Control,Drought1,salinity1,45.4,45.9,46.4,43.9,,49.6
Control,Drought1,salinity2,40.7,40.8,41.8,39.5,,47.3
Control,Drought1,salinity3,33.8,33.9,34.7,32.8,,41.2
Control,Drought2,salinity1,41.35333333,41.1,42.4,40.56,,47.5
Control,Drought2,salinity2,36.59666667,36.3,37.6,35.89,,43.7
Control,Drought2,salinity3,28.7,28.9,30.7,26.5,,38.5
Control,Drought3,salinity1,35.53333333,35,37.1,34.5,,42.6
Control,Drought3,salinity2,30.1,30.6,31.9,27.8,,39.1
Control,Drought3,salinity3,23.2,23.3,24.7,21.6,,34.2
Control,Drought4,salinity1,25.4,25.2,26.5,24.5,,37.5
Control,Drought4,salinity2,20.8,20.3,21.4,20.7,,33.7
Control,Drought4,salinity3,14.8,14.3,17.2,12.9,,28.4
,,,,,,,,50.1
,,,,,,,,48.5
,,,,,,,,42.3
,,,,,,,,48.7
,,,,,,,,44.2
,,,,,,,,39.7
,,,,,,,,43.9
,,,,,,,,41.7
,,,,,,,,36.8
,,,,,,,,38.4
,,,,,,,,34.1
,,,,,,,,29.9
,,,,,,,,48.6
,,,,,,,,44.8
,,,,,,,,40.6
,,,,,,,,43.7
,,,,,,,,41.4
,,,,,,,,36.8
,,,,,,,,40.9
,,,,,,,,38.6
,,,,,,,,33.2
,,,,,,,,32.9
,,,,,,,,32.8
,,,,,,,,28.5
,,,,,,,,47.5
,,,,,,,,42.2
,,,,,,,,37.2
,,,,,,,,43.3
,,,,,,,,39.1
,,,,,,,,34.8
,,,,,,,,38.9
,,,,,,,,35.7
,,,,,,,,30.6
,,,,,,,,33.9
,,,,,,,,29.2
,,,,,,,,24.39
,,,,,,,,48.2
,,,,,,,,44.3
,,,,,,,,37.9
,,,,,,,,44.7
,,,,,,,,40.9
,,,,,,,,35.9
,,,,,,,,40.7
,,,,,,,,37.1
,,,,,,,,33.1
,,,,,,,,35.5
,,,,,,,,31.4
,,,,,,,,25.9
,,,,,,,,44.9
,,,,,,,,40.1
,,,,,,,,36.1
,,,,,,,,41.5
,,,,,,,,36.9
,,,,,,,,33.1
,,,,,,,,37.7
,,,,,,,,33.3
,,,,,,,,28.5
,,,,,,,,31.6
,,,,,,,,28.7
,,,,,,,,23.9
,,,,,,,,45.9
,,,,,,,,40.8
,,,,,,,,33.9
,,,,,,,,41.1
,,,,,,,,36.3
,,,,,,,,28.9
,,,,,,,,35
,,,,,,,,30.6
,,,,,,,,23.3
,,,,,,,,25.2
,,,,,,,,20.3
,,,,,,,,14.3
,,,,,,,,46.4
,,,,,,,,41.8
,,,,,,,,34.7
,,,,,,,,42.4
,,,,,,,,37.6
,,,,,,,,30.7
,,,,,,,,37.1
,,,,,,,,31.9
,,,,,,,,24.7
,,,,,,,,26.5
,,,,,,,,21.4
,,,,,,,,17.2
,,,,,,,,43.9
,,,,,,,,39.5
,,,,,,,,32.8
,,,,,,,,40.56
,,,,,,,,35.89
,,,,,,,,26.5
,,,,,,,,34.5
,,,,,,,,27.8
,,,,,,,,21.6
,,,,,,,,24.5
,,,,,,,,20.7
