R,Host,Fungi,Drought,Salinity,Treatment code,Lshoot,Wshoot,Wdshoot,Lroot,Wroot,Wdroot,S
NC-D1-S1-1,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,163,146.71,24.37043189,51,53.62,7.509803922,50.9
NC-D1-S2-2,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity2,NCD1S2,158,142.16,23.61461794,50,51.24,7.176470588,47.6
NC-D1-S3-3,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity3,NCD1S3,152,135.11,22.44352159,50,47.28,6.621848739,43.9
NC-D2-S1-4,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity1,NCD2S1,158,142.88,23.73421927,48,50.83,7.119047619,48.3
NC-D2-S2-5,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity2,NCD2S2,154,137.4,22.82392027,48,48.32,6.767507003,45.6
NC-D2-S3-6,Solanum lycopersicum,Neocamarosporium chichastianum,Drought2,salinity3,NCD2S3,148,128.67,21.37375415,47,44.69,6.259103641,41.7
NC-D3-S1-7,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity1,NCD3S1,152,130.33,21.64950166,48,45.31,6.345938375,44.6
NC-D3-S2-8,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity2,NCD3S2,148,128.73,21.38372093,47,43.74,6.12605042,41.8
NC-D3-S3-9,Solanum lycopersicum,Neocamarosporium chichastianum,Drought3,salinity3,NCD3S3,142,118.14,19.62458472,46,39.52,5.535014006,37.9
NC-D4-S1-10,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity1,NCD4S1,143,116.64,19.37541528,45,39.41,5.519607843,39.1
NC-D4-S2-11,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity2,NCD4S2,139,113.11,18.78903654,45,37.64,5.271708683,36.4
NC-D4-S3-12,Solanum lycopersicum,Neocamarosporium chichastianum,Drought4,salinity3,NCD4S3,133,105.39,17.50664452,45,33.55,4.698879552,32.9
NC-D1-S1-13,Solanum lycopersicum,Neocamarosporium chichastianum,Drought1,salinity1,NCD1S1,165,146.71,24.37043189,53,55.17,7.726890756,51.2
