R,Host,Drought,fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
1,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity1,PMD1S1,20.61,0.083655778,0.10548,0.55288,10.3461
2,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity2,PMD1S2,17.28,0.1644205,0.12358,1.1412796,17.762
3,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity3,PMD1S3,15.07,0.280302408,0.17657,1.5293,20.152
4,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,25.17,0.087073666,0.08915,0.54868,10.44
5,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,22.43,0.127421195,0.1054148,0.8217,12.644
6,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,20.65,0.244865169,0.16256,1.09868,14.774
7,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,25.51,0.091744797,0.09548,0.55084,10.645
8,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,22.23,0.130986237,0.11548,0.85536,12.465
9,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,20.14,0.26539627,0.16659,1.0372,15.774
10,Solanum lycopersicum,Drought1,Control,salinity1,COD1S1,18.94,0.065697247,0.0721459,0.4007,9.896
11,Solanum lycopersicum,Drought1,Control,salinity2,COD1S2,13.39,0.136358731,0.10256,0.8948,15.885
12,Solanum lycopersicum,Drought1,Control,salinity3,COD1S3,9.79,0.183697,0.13221568,1.11675,17.0623
13,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity1,PMD2S1,18.59,0.167607856,0.1454,1.1264,17.35
14,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity2,PMD2S2,15.67,0.2405689,0.16658,1.68864,23.34
15,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity3,PMD2S3,13.83,0.368807004,0.21545,2.075948,29.168
16,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,22.3,0.110899784,0.1089,0.78712,12.761
17,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,19.98,0.1516273,0.12154,1.064,15.168
18,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,17.52,0.308025,0.1826447,1.41608,25.623
19,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,22.18,0.115610522,0.10954,0.709,12.704
20,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,20.01,0.152125587,0.12548,1.059534,15.362
21,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,17.71,0.313192,0.182557,1.4324,25.774
22,Solanum lycopersicum,Drought2,Control,salinity1,COD2S1,15.26,0.125509993,0.13157,0.952508,14.4641
23,Solanum lycopersicum,Drought2,Control,salinity2,COD2S2,10.72,0.196919604,0.15678,1.3615,17.85441
24,Solanum lycopersicum,Drought2,Control,salinity3,COD2S3,7.5,0.246837442,0.17235,1.7106,19.9732
25,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity1,PMD3S1,16.32,0.259055447,0.21815,1.5004,21.374
26,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity2,PMD3S2,13.79,0.323966341,0.230325,1.98734,27.03254
27,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity3,PMD3S3,12.02,0.445246837,0.2854,2.3954,32.9774
28,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,19.01,0.14793326,0.132145,0.8948,14.7542
29,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,17.3,0.1848,0.1557,1.1154,17.55
30,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,15.2,0.37489,0.25231,2.34948,30.374
31,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,19.1,0.14125,0.13055,0.8548,14.645
32,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,17.15,0.1987,0.151258,1.1942,17.64374
33,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,15.23,0.36598,0.253145,2.39534,30.744
34,Solanum lycopersicum,Drought3,Control,salinity1,COD3S1,13.77,0.18583,0.163263,1.23088,16.774
35,Solanum lycopersicum,Drought3,Control,salinity2,COD3S2,9.61,0.251453,0.192548,1.66742,20.144
36,Solanum lycopersicum,Drought3,Control,salinity3,COD3S3,6.82,0.303453,0.212154,1.9281,22.774
37,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity1,PMD4S1,13.86,0.319055447,0.28654,1.859522,27.235
38,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity2,PMD4S2,11.7,0.383966341,0.3042,2.5542,32.6752
39,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity3,PMD4S3,10.39,0.485246837,0.35351,2.9188,36.8975
40,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,16.92,0.27793326,0.241451,1.7522,25.75474
41,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,15.3,0.3148,0.2654,2.40924,30.8536
42,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,13.6,0.45489,0.323246,2.8293,34.75444
43,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,16.93,0.270125,0.243215,1.715,25.774
44,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,15.39,0.31687,0.26451,2.4506,30.4632
45,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,13.7,0.46598,0.329521,2.85288,34.0441
46,Solanum lycopersicum,Drought4,Control,salinity1,COD4S1,10.54,0.22583,0.1936652,1.4614,18.743
47,Solanum lycopersicum,Drought4,Control,salinity2,COD4S2,7.82,0.28145,0.2215546,1.8884,24.4045
48,Solanum lycopersicum,Drought4,Control,salinity3,COD4S3,5.72,0.32453,0.241553,2.10075,25.6075
49,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity1,PMD1S1,21.0222,0.083906745,0.105501096,0.55453864,10.3874844
50,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity2,PMD1S2,17.6256,0.164913762,0.123604716,1.144703439,17.833048
51,Solanum lycopersicum,Drought1,Periconia macrospinosa,salinity3,PMD1S3,15.3714,0.281143315,0.176605314,1.5338879,20.232608
52,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,25.6734,0.087334887,0.08916783,0.55032604,10.48176
53,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,22.8786,0.127803459,0.105435883,0.8241651,12.694576
54,Solanum lycopersicum,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,21.063,0.245599765,0.162592512,1.10197604,14.833096
55,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,26.0202,0.092020031,0.095499096,0.55249252,10.68758
56,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,22.6746,0.131379196,0.115503096,0.85792608,12.51486
57,Solanum lycopersicum,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,20.5428,0.266192459,0.166623318,1.0403116,15.837096
58,Solanum lycopersicum,Drought1,Control,salinity1,COD1S1,19.3188,0.065894339,0.072160329,0.4019021,9.935584
59,Solanum lycopersicum,Drought1,Control,salinity2,COD1S2,13.6578,0.136767807,0.102580512,0.8974844,15.94854
60,Solanum lycopersicum,Drought1,Control,salinity3,COD1S3,9.9858,0.184248091,0.132242123,1.12010025,17.1305492
61,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity1,PMD2S1,18.9618,0.16811068,0.14542908,1.1297792,17.4194
62,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity2,PMD2S2,15.9834,0.241290607,0.166613316,1.69370592,23.43336
63,Solanum lycopersicum,Drought2,Periconia macrospinosa,salinity3,PMD2S3,14.1066,0.369913425,0.21549309,2.082175844,29.284672
64,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,22.746,0.111232483,0.10892178,0.78948136,12.812044
65,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,20.3796,0.152082182,0.121564308,1.067192,15.228672
66,Solanum lycopersicum,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,17.8704,0.308949075,0.182681229,1.42032824,25.725492
67,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,22.6236,0.115957354,0.109561908,0.711127,12.754816
68,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,20.4102,0.152581964,0.125505096,1.062712602,15.423448
69,Solanum lycopersicum,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,18.0642,0.314131576,0.182593511,1.4366972,25.877096
70,Solanum lycopersicum,Drought2,Control,salinity1,COD2S1,15.5652,0.125886523,0.131596314,0.955365524,14.5219564
71,Solanum lycopersicum,Drought2,Control,salinity2,COD2S2,10.9344,0.197510363,0.156811356,1.3655845,17.92582764
72,Solanum lycopersicum,Drought2,Control,salinity3,COD2S3,7.65,0.247577954,0.17238447,1.7157318,20.0530928
73,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity1,PMD3S1,16.6464,0.259832613,0.21819363,1.5049012,21.459496
74,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity2,PMD3S2,14.0658,0.32493824,0.230371065,1.99330202,27.14067016
75,Solanum lycopersicum,Drought3,Periconia macrospinosa,salinity3,PMD3S3,12.2604,0.446582578,0.28545708,2.4025862,33.1093096
76,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,19.3902,0.14837706,0.132171429,0.8974844,14.8132168
77,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,17.646,0.1853544,0.15573114,1.1187462,17.6202
78,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,15.504,0.37601467,0.252360462,2.35652844,30.495496
79,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,19.482,0.14167375,0.13057611,0.8573644,14.70358
80,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,17.493,0.1992961,0.151288252,1.1977826,17.71431496
