Fungi ,Drought ,Salinity,Value,,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,7.16,7.45,7.12,6.91,,,
Neocamarosporium chichastianum,Drought1,salinity2,6.96,7.26,6.9,6.72,,,
Neocamarosporium chichastianum,Drought1,salinity3,6.573333333,6.5,6.56,6.66,,,
Neocamarosporium chichastianum,Drought2,salinity1,6.853333333,7.2,6.78,6.58,,,
Neocamarosporium chichastianum,Drought2,salinity2,6.656666667,6.89,6.64,6.44,,,
Neocamarosporium chichastianum,Drought2,salinity3,6.243333333,6.75,6.25,5.73,,,
Neocamarosporium chichastianum,Drought3,salinity1,6.253333333,6.68,6.18,5.9,,,
Neocamarosporium chichastianum,Drought3,salinity2,6.053333333,6.5,5.96,5.7,,,
Neocamarosporium chichastianum,Drought3,salinity3,5.656666667,6.1,5.57,5.3,,,
Neocamarosporium chichastianum,Drought4,salinity1,5.233333333,5.62,5.1,4.98,,,
Neocamarosporium chichastianum,Drought4,salinity2,5.04,4.97,5.03,5.12,,,
Neocamarosporium chichastianum,Drought4,salinity3,4.643333333,4.93,4.56,4.44,,,
Neocamarosporium goegapense,Drought1,salinity1,7.123333333,7.14,7.08,7.15,,,
Neocamarosporium goegapense,Drought1,salinity2,6.92,7.03,6.81,6.92,,,
Neocamarosporium goegapense,Drought1,salinity3,6.52,6.62,6.52,6.42,,,
Neocamarosporium goegapense,Drought2,salinity1,6.81,6.8,6.77,6.86,,,
Neocamarosporium goegapense,Drought2,salinity2,6.6,6.52,6.67,6.61,,,
Neocamarosporium goegapense,Drought2,salinity3,6.393333333,6.48,6.35,6.35,,,
Neocamarosporium goegapense,Drought3,salinity1,6.163333333,6.29,6.19,6.01,,,
Neocamarosporium goegapense,Drought3,salinity2,5.973333333,6.04,6,5.88,,,
Neocamarosporium goegapense,Drought3,salinity3,5.573333333,5.7,5.54,5.48,,,
Neocamarosporium goegapense,Drought4,salinity1,5.176666667,5.15,5.23,5.15,,,
Neocamarosporium goegapense,Drought4,salinity2,4.976666667,5.04,4.99,4.9,,,
Neocamarosporium goegapense,Drought4,salinity3,4.576666667,4.8,4.57,4.36,,,
Periconia macrospinosa,Drought1,salinity1,6.98,7.52,6.13,7.29,,,
Periconia macrospinosa,Drought1,salinity2,6.686666667,6.75,6.65,6.66,,,
Periconia macrospinosa,Drought1,salinity3,6.083333333,6.21,6.1,5.94,,,
Periconia macrospinosa,Drought2,salinity1,6.523333333,6.62,6.32,6.63,,,
Periconia macrospinosa,Drought2,salinity2,6.223333333,6.21,6.28,6.18,,,
Periconia macrospinosa,Drought2,salinity3,5.626666667,5.41,5.7,5.77,,,
Periconia macrospinosa,Drought3,salinity1,5.73,5.79,5.48,5.92,,,
Periconia macrospinosa,Drought3,salinity2,5.443333333,5.59,5.33,5.41,,,
Periconia macrospinosa,Drought3,salinity3,4.846666667,4.94,4.86,4.74,,,
Periconia macrospinosa,Drought4,salinity1,4.666666667,4.81,4.71,4.48,,,
Periconia macrospinosa,Drought4,salinity2,4.366666667,4.45,4.3,4.35,,,
Periconia macrospinosa,Drought4,salinity3,3.76,3.93,3.68,3.67,,,
Control,Drought1,salinity1,7.04,7.82,6.23,7.07,,,
Control,Drought1,salinity2,6.246666667,6.23,6.43,6.08,,,
Control,Drought1,salinity3,5.646666667,5.61,5.71,5.62,,,
Control,Drought2,salinity1,5.53,5.74,5.34,5.51,,,
Control,Drought2,salinity2,4.733333333,4.82,4.65,4.73,,,
Control,Drought2,salinity3,4.133333333,4.19,4.15,4.06,,,
Control,Drought3,salinity1,4.643333333,4.69,4.61,4.63,,,
Control,Drought3,salinity2,3.853333333,3.96,3.93,3.67,,,
Control,Drought3,salinity3,3.213333333,3.31,3.12,3.21,,,
Control,Drought4,salinity1,3.72,3.81,3.69,3.66,,,
Control,Drought4,salinity2,3.126666667,3.3,3.08,3,,,
Control,Drought4,salinity3,2.526666667,2.59,2.5,2.49,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
