Fungi ,Salinity,Drought ,Value,,,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,255.4867333,242.7408,267.624,256.0954,,,,
Neocamarosporium chichastianum,Drought1,salinity2,238.9525667,231.336,249.2208,236.3009,,,,
Neocamarosporium chichastianum,Drought1,salinity3,229.1408333,216.3024,245.2032,225.9169,,,,
Neocamarosporium chichastianum,Drought2,salinity1,242.4743667,234.7704,254.4048,238.2479,,,,
Neocamarosporium chichastianum,Drought2,salinity2,227.6725333,216.432,239.6952,226.8904,,,,
Neocamarosporium chichastianum,Drought2,salinity3,205.2841,196.9272,213.1272,205.7979,,,,
Neocamarosporium chichastianum,Drought3,salinity1,209.9313667,203.2128,214.4232,212.1581,,,,
Neocamarosporium chichastianum,Drought3,salinity2,194.6728333,188.0496,201.204,194.7649,,,,
Neocamarosporium chichastianum,Drought3,salinity3,166.6681,164.3328,162.5832,173.0883,,,,
Neocamarosporium chichastianum,Drought4,salinity1,180.5249,170.5536,176.1264,194.8947,,,,
Neocamarosporium chichastianum,Drought4,salinity2,163.3813,155.9736,168.0912,166.0791,,,,
Neocamarosporium chichastianum,Drought4,salinity3,142.4397333,134.784,148.1976,144.3376,,,,
Neocamarosporium goegapense,Drought1,salinity1,250.6681333,248.7617,258.375,244.8677,,,,
Neocamarosporium goegapense,Drought1,salinity2,238.5673333,238.2479,243.23,234.2241,,,,
Neocamarosporium goegapense,Drought1,salinity3,216.5335,219.4918,221.585,208.5237,,,,
Neocamarosporium goegapense,Drought2,salinity1,242.4646667,240.9088,249.73,236.7552,,,,
Neocamarosporium goegapense,Drought2,salinity2,231.0373667,228.0586,240.175,224.8785,,,,
Neocamarosporium goegapense,Drought2,salinity3,204.9335333,203.9158,212.81,198.0748,,,,
Neocamarosporium goegapense,Drought3,salinity1,209.6513,208.8482,216.125,203.9807,,,,
Neocamarosporium goegapense,Drought3,salinity2,194.5443,195.4788,202.605,185.5491,,,,
Neocamarosporium goegapense,Drought3,salinity3,166.2113,167.5069,173.42,157.707,,,,
Neocamarosporium goegapense,Drought4,salinity1,181.6871,173.932,188.955,182.1743,,,,
Neocamarosporium goegapense,Drought4,salinity2,166.7512667,163.0937,171.73,165.4301,,,,
Neocamarosporium goegapense,Drought4,salinity3,138.8514,138.0423,143.455,135.0569,,,,
Periconia macrospinosa,Drought1,salinity1,232.4979,225.9169,243.648,227.9288,,,,
Periconia macrospinosa,Drought1,salinity2,202.5247333,195.7384,222.9768,188.859,,,,
Periconia macrospinosa,Drought1,salinity3,177.1872,169.3241,190.4472,171.7903,,,,
Periconia macrospinosa,Drought2,salinity1,221.2336667,216.3766,230.5584,216.766,,,,
Periconia macrospinosa,Drought2,salinity2,194.3159667,186.0683,199.8432,197.0364,,,,
Periconia macrospinosa,Drought2,salinity3,160.3592,152.3852,185.1336,143.5588,,,,
Periconia macrospinosa,Drought3,salinity1,180.2598333,174.8406,189.0864,176.8525,,,,
Periconia macrospinosa,Drought3,salinity2,156.2803333,152.3203,166.0176,150.5031,,,,
Periconia macrospinosa,Drought3,salinity3,121.7082,114.1591,127.98,122.9855,,,,
Periconia macrospinosa,Drought4,salinity1,144.6062667,139.1456,150.5952,144.078,,,,
Periconia macrospinosa,Drought4,salinity2,115.0929,110.33,119.232,115.7167,,,,
Periconia macrospinosa,Drought4,salinity3,84.36256667,74.7648,98.5608,79.7621,,,,
Control,Drought1,salinity1,204.9531333,195.0894,207.155,212.615,,,,
Control,Drought1,salinity2,167.8529333,166.2738,170.365,166.92,,,,
Control,Drought1,salinity3,135.4580667,130.3192,143.715,132.34,,,,
Control,Drought2,salinity1,173.7449333,168.8698,189.15,163.215,,,,
Control,Drought2,salinity2,140.7609667,140.8979,148.07,133.315,,,,
Control,Drought2,salinity3,103.2082667,107.2148,104.195,98.215,,,,
Control,Drought3,salinity1,138.4011667,137.2635,142.805,135.135,,,,
Control,Drought3,salinity2,108.0179667,107.7989,110.63,105.625,,,,
Control,Drought3,salinity3,65.61646667,65.2894,68.77,62.79,,,,
Control,Drought4,salinity1,101.6288333,102.8665,110.305,91.715,,,,
Control,Drought4,salinity2,69.9033,71.4549,76.505,61.75,,,,
Control,Drought4,salinity3,41.948,39.589,52.39,33.865,,,,
