Fungi ,Drought ,Salinity,Value,,,,,,,,,
Neocamarosporium chichastianum,Drought1,salinity1,146.3333333,146.71,146.71,145.58,,,,,,
Neocamarosporium chichastianum,Drought1,salinity2,141.9866667,142.16,143.86,139.94,,,,,,
Neocamarosporium chichastianum,Drought1,salinity3,134.9333333,135.11,135.92,133.77,,,,,,
Neocamarosporium chichastianum,Drought2,salinity1,141.78,142.88,142.88,139.58,,,,,,
Neocamarosporium chichastianum,Drought2,salinity2,136.9566667,137.4,138.9,134.57,,,,,,
Neocamarosporium chichastianum,Drought2,salinity3,130.8666667,128.67,128.67,135.26,,,,,,
Neocamarosporium chichastianum,Drought3,salinity1,130.34,130.33,132.33,128.36,,,,,,
Neocamarosporium chichastianum,Drought3,salinity2,126.4766667,128.73,126.73,123.97,,,,,,
Neocamarosporium chichastianum,Drought3,salinity3,118.2833333,118.14,120.14,116.57,,,,,,
Neocamarosporium chichastianum,Drought4,salinity1,116.49,116.64,117.54,115.29,,,,,,
Neocamarosporium chichastianum,Drought4,salinity2,113.53,113.11,115.26,112.22,,,,,,
Neocamarosporium chichastianum,Drought4,salinity3,104.89,105.39,106.39,102.89,,,,,,
Neocamarosporium goegapense,Drought1,salinity1,143.6833333,143.91,145.91,141.23,,,,,,
Neocamarosporium goegapense,Drought1,salinity2,137.2966667,137.16,139.74,134.99,,,,,,
Neocamarosporium goegapense,Drought1,salinity3,129.0666667,130.93,129.36,126.91,,,,,,
Neocamarosporium goegapense,Drought2,salinity1,133.43,133.79,136.21,130.29,,,,,,
Neocamarosporium goegapense,Drought2,salinity2,129.0566667,129.12,131.37,126.68,,,,,,
Neocamarosporium goegapense,Drought2,salinity3,121.31,121.78,121.37,120.78,,,,,,
Neocamarosporium goegapense,Drought3,salinity1,123.3233333,123.36,125.94,120.67,,,,,,
Neocamarosporium goegapense,Drought3,salinity2,119.42,119.51,122.52,116.23,,,,,,
Neocamarosporium goegapense,Drought3,salinity3,111.2666667,111.27,113.31,109.22,,,,,,
